participantId,device,datasetId,pauseTime,sortingTime,time,experimentOrder
14,VR,2,1.4560757875442505,146.3818359375,2022-04-30 13:37:03,3
6,Comp,2,107.67932891845703,336.10870361328125,2022-04-30 15:48:06,1
6,Comp,1,80.6814193725586,214.93597412109375,2022-04-30 15:56:43,2
6,VR,2,195.46109008789062,300.9992980957031,2022-04-30 16:31:53,3
6,VR,1,46.4564208984375,179.66452026367188,2022-04-30 16:39:04,4
17,VR,2,29.740915298461914,217.44154357910156,2022-05-02 09:25:47,1
17,VR,1,44.57778549194336,179.52371215820312,2022-05-02 09:32:44,2
11,Comp,2,45.91593551635742,213.11917114257812,2022-04-29 09:20:31,1
17,Comp,1,6.033236980438232,140.43048095703125,2022-05-02 09:43:42,3
14,VR,1,1.389379858970642,170.81153869628906,2022-04-30 13:43:08,4
5,Comp,1,12.616471290588379,128.8485107421875,2022-04-29 18:03:38,2
4,Comp,2,1514.756103515625,332.9734191894531,2022-04-27 17:28:27,2
17,Comp,2,23.782838821411133,77.85194396972656,2022-05-02 09:48:23,4
20,Comp,1,54.61604309082031,165.74435424804688,2022-05-02 10:28:58,1
20,Comp,2,315.6630554199219,183.64219665527344,2022-05-02 10:40:17,2
20,VR,2,133.70391845703125,436.78778076171875,2022-05-02 11:04:23,3
20,VR,1,319.7902526855469,433.7123107910156,2022-05-02 11:20:05,4
21,VR,1,102.40837097167969,234.8043975830078,2022-05-02 11:54:23,1
10,Comp,1,0.0,0.0,2022-04-27 16:14:36,4
21,VR,2,61.9385986328125,153.5532989501953,2022-05-02 12:01:44,2
21,Comp,2,177.1230926513672,282.47491455078125,2022-05-02 12:15:10,3
21,Comp,1,132.89488220214844,197.0245361328125,2022-05-02 12:23:39,4
25,Comp,1,34.849246978759766,233.96861267089844,2022-05-02 15:10:35,1
25,Comp,2,76.94860076904297,195.6067657470703,2022-05-02 15:18:12,2
25,VR,2,112.90270233154297,116.07124328613281,2022-05-02 15:31:31,3
25,VR,1,95.8652114868164,264.06793212890625,2022-05-02 15:40:35,4
24,Comp,2,3.666616201400757,130.8148651123047,2022-05-02 16:51:34,1
24,Comp,1,2.1832988262176514,106.06684112548828,2022-05-02 16:56:49,2
24,VR,1,10.107111930847168,189.7192840576172,2022-05-02 17:20:07,3
24,VR,2,5.2979912757873535,173.2998046875,2022-05-02 17:26:31,4
15,VR,1,61.7606201171875,104.24300384521484,2022-05-02 18:10:06,1
15,VR,2,2.55519700050354,114.94115447998047,2022-05-02 18:15:28,2
15,Comp,2,9.416518211364746,210.85543823242188,2022-05-02 18:29:12,3
15,Comp,1,6.01655912399292,131.94808959960938,2022-05-02 18:34:39,4
16,Comp,1,6.350021839141846,250.44374084472656,2022-04-27 13:11:44,1
16,Comp,2,122.7017822265625,260.2438049316406,2022-04-27 13:22:12,2
13,Comp,2,97.46904754638672,190.4547119140625,2022-04-27 15:27:57,4
