participantId,device,datasetId,pauseTime,sortingTime,time,experimentOrder,nbTrue,trueProp,maxTrueStreak,maxTrueStreakBoth,maxFalseStreakBoth,veracityScore,levenDist
9,Comp,1,73.6321792602539,436.1814270019531,2022-04-30 12:00:50,1,3,0.42857142857142855,1,1,2,0.30612244897959184,7
9,Comp,2,146.6932373046875,357.3616943359375,2022-04-30 12:12:27,2,2,0.2857142857142857,1,1,2,0.22448979591836735,7
9,VR,2,144.130615234375,525.0859375,2022-04-30 12:46:01,3,3,0.42857142857142855,1,1,1,0.20408163265306123,7
9,VR,1,86.76563262939453,355.62628173828125,2022-04-30 12:57:02,4,5,0.7142857142857143,1,1,1,0.4897959183673469,5
14,Comp,2,3.249927759170532,72.88544464111328,2022-04-30 13:17:52,2,3,0.42857142857142855,1,1,1,0.24489795918367346,7
14,VR,2,1.4560757875442505,146.3818359375,2022-04-30 13:37:03,3,2,0.2857142857142857,1,1,1,0.10204081632653061,7
6,Comp,2,107.67932891845705,336.10870361328125,2022-04-30 15:48:06,1,4,0.5714285714285714,1,1,1,0.42857142857142855,5
6,Comp,1,80.6814193725586,214.93597412109372,2022-04-30 15:56:43,2,4,0.5714285714285714,1,1,2,0.42857142857142855,5
6,VR,2,195.46109008789065,300.9992980957031,2022-04-30 16:31:53,3,3,0.42857142857142855,1,1,2,0.14285714285714285,7
6,VR,1,46.4564208984375,179.66452026367188,2022-04-30 16:39:04,4,2,0.2857142857142857,1,1,1,0.2653061224489796,6
17,VR,2,29.740915298461918,217.4415435791016,2022-05-02 09:25:47,1,3,0.42857142857142855,1,1,1,0.2653061224489796,6
17,VR,1,44.57778549194336,179.52371215820312,2022-05-02 09:32:44,2,2,0.2857142857142857,1,2,1,0.20408163265306123,6
11,Comp,2,45.91593551635742,213.11917114257807,2022-04-29 09:20:31,1,3,0.42857142857142855,1,1,2,0.2653061224489796,6
17,Comp,1,6.033236980438232,140.43048095703125,2022-05-02 09:43:42,3,3,0.42857142857142855,1,1,1,0.3469387755102041,6
