participantId,device,datasetId,nbTrue,trueProp,maxTrueStreak,maxTrueStreakBoth,maxFalseStreakBoth,veracityScore,levenDist
14,VR,1,3,0.42857142857142855,1,1,2,0.30612244897959184,7
5,Comp,1,3,0.42857142857142855,1,2,1,0.20408163265306123,7
4,Comp,2,5,0.7142857142857143,1,1,1,0.5918367346938775,6
17,Comp,2,3,0.42857142857142855,1,1,2,0.1836734693877551,7
20,Comp,1,6,0.8571428571428571,1,2,1,0.42857142857142855,7
20,Comp,2,4,0.5714285714285714,1,1,2,0.3469387755102041,7
20,VR,2,3,0.42857142857142855,1,1,1,0.20408163265306123,7
20,VR,1,4,0.5714285714285714,1,1,1,0.30612244897959184,7
21,VR,1,3,0.42857142857142855,1,1,1,0.2653061224489796,6
10,Comp,1,3,0.42857142857142855,1,1,2,0.3673469387755102,6
21,VR,2,3,0.42857142857142855,1,1,2,0.3469387755102041,6
21,Comp,2,2,0.2857142857142857,1,1,1,0.2653061224489796,6
21,Comp,1,5,0.7142857142857143,1,1,1,0.3877551020408163,7
25,Comp,1,5,0.7142857142857143,2,2,1,0.5510204081632653,5
25,Comp,2,4,0.5714285714285714,2,2,1,0.42857142857142855,5
25,VR,2,5,0.7142857142857143,1,1,1,0.3877551020408163,7
25,VR,1,3,0.42857142857142855,1,1,2,0.3877551020408163,5
24,Comp,2,2,0.2857142857142857,1,1,1,0.22448979591836735,7
24,Comp,1,4,0.5714285714285714,1,1,1,0.4897959183673469,6
24,VR,1,3,0.42857142857142855,1,1,2,0.30612244897959184,7
24,VR,2,3,0.42857142857142855,1,1,1,0.2653061224489796,7
15,VR,1,1,0.14285714285714285,1,1,1,0.12244897959183673,7
15,VR,2,4,0.5714285714285714,1,2,1,0.3673469387755102,6
15,Comp,2,4,0.5714285714285714,1,1,1,0.32653061224489793,7
15,Comp,1,4,0.5714285714285714,1,1,1,0.3469387755102041,7
16,Comp,1,5,0.7142857142857143,1,2,1,0.5918367346938775,6
16,Comp,2,2,0.2857142857142857,1,1,1,0.20408163265306123,7
13,Comp,2,3,0.42857142857142855,1,1,1,0.2857142857142857,7
